"id";"name";"nation";"position";"team";"age";"born";"MP";"Starts";"Min";"Gls";"Ast";"PK";"PKatt";"CrdY";"CrdR";"Gls_per_match";"Ast_per_match";"G_A_per_match";"G_PK_per_match";"G_A_PK_per_match";"Matches"
319;Radosław Murawski\Radoslaw-Murawski;pl POL;MF;Denizlispor;25;1994;23;23;2070;3;0;2;2;7;0;0.13;0.00;0.13;0.04;0.04;Matches
320;Vedat Muriqi\Vedat-Muriqi;xk KVX;FW;Fenerbahçe;25;1994;23;22;1992;13;4;2;2;5;1;0.59;0.18;0.77;0.50;0.68;Matches
321;Fernando Muslera\Fernando-Muslera;uy URU;GK;Galatasaray;33;1986;23;23;2070;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;Matches
322;Delvin N'Dinga\Delvin-NDinga;cg CGO;MF;Antalyaspor;31;1988;4;4;294;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
323;Georges-Kévin N'Koudou\Georges-Kevin-NKoudou;fr FRA;MF;Beşiktaş;24;1995;19;14;1372;2;0;0;0;3;0;0.13;0.00;0.13;0.13;0.13;Matches
324;Fabrice N'Sakala\Fabrice-NSakala;cd COD;DF;Alanyaspor;29;1990;21;21;1859;0;1;0;0;5;1;0.00;0.05;0.05;0.00;0.05;Matches
325;Yuto Nagatomo\Yuto-Nagatomo;jp JPN;DF;Galatasaray;32;1986;15;14;1202;1;0;0;0;0;0;0.07;0.00;0.07;0.07;0.07;Matches
326;Stefano Napoleoni\Stefano-Napoleoni;it ITA;MFFW;Göztepe;33;1986;18;17;1374;2;2;0;0;0;0;0.13;0.13;0.26;0.13;0.26;Matches
327;Umut Nayir\Umut-Nayir;tr TUR;FW;Beşiktaş;26;1993;15;3;409;4;0;0;0;3;0;0.88;0.00;0.88;0.88;0.88;Matches
328;Youssouf Ndayishimiye\Youssouf-Ndayishimiye;bi BDI;MF;Yeni Mal'spor;20;1998;1;0;13;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;Matches
329;Badou Ndiaye\Badou-Ndiaye;sn SEN;MF;Trabzonspor;28;1990;6;6;523;1;2;0;0;2;0;0.17;0.34;0.52;0.17;0.52;Matches
330;Dieumerci Ndongala\Dieumerci-Ndongala;cd COD;MF;Kasımpaşa;28;1991;7;5;439;0;0;0;0;2;0;0.00;0.00;0.00;0.00;0.00;Matches
331;Recep Niyaz\Recep-Niyaz;tr TUR;MF;Denizlispor;23;1995;13;7;690;1;0;0;0;0;0;0.13;0.00;0.13;0.13;0.13;Matches
332;Kristoffer Nordfeldt\Kristoffer-Nordfeldt;se SWE;GK;Gençlerbirliği;30;1989;7;7;630;0;0;0;0;2;0;0.00;0.00;0.00;0.00;0.00;Matches
333;Filip Novák\Filip-Novak;cz CZE;DF;Trabzonspor;29;1990;19;19;1651;2;0;0;0;2;0;0.11;0.00;0.11;0.11;0.11;Matches
334;Paul-Georges Ntep\Paul-Georges-Ntep;cm CMR;MFFW;Kayserispor;27;1992;5;2;140;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
335;Atınç Nukan\Atinc-Nukan;tr TUR;DF;Göztepe;26;1993;1;0;1;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
336;Anthony Nwakaeme\Anthony-Nwakaeme;ng NGA;MFFW;Trabzonspor;30;1989;21;20;1756;9;6;0;0;3;0;0.46;0.31;0.77;0.46;0.77;Matches
337;Steven Nzonzi\Steven-Nzonzi;fr FRA;MF;Galatasaray;30;1988;10;10;900;0;1;0;0;1;0;0.00;0.10;0.10;0.00;0.10;Matches
338;John Obi Mikel\John-Obi-Mikel;ng NGA;MF;Trabzonspor;32;1987;17;16;1401;0;0;0;0;6;1;0.00;0.00;0.00;0.00;0.00;Matches
339;Ahmet Oğuz\Ahmet-Oguz;tr TUR;DF;Gençlerbirliği;26;1993;12;8;644;0;0;0;0;3;2;0.00;0.00;0.00;0.00;0.00;Matches
340;Muhayer Oktay\Muhayer-Oktay;tr TUR;MF;Beşiktaş;20;1999;1;0;6;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
341;Paweł Olkowski\Pawel-Olkowski;pl POL;DFMF;Gaziantep FK;29;1990;8;5;411;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;Matches
342;Abdülkadir Ömür\Abdulkadir-Omur;tr TUR;MF;Trabzonspor;20;1999;3;2;163;1;1;0;0;0;0;0.55;0.55;1.10;0.55;1.10;Matches
343;Alper Önal\Alper-Onal;tr TUR;MF;Ankaragücü;23;1996;6;0;115;0;0;0;0;2;0;0.00;0.00;0.00;0.00;0.00;Matches
344;Ogenyi Onazi\Ogenyi-Onazi;ng NGA;MF;Denizlispor;26;1992;4;3;161;0;0;0;0;2;0;0.00;0.00;0.00;0.00;0.00;Matches
345;Henry Onyekuru\Henry-Onyekuru;ng NGA;MF;Galatasaray;22;1997;5;3;303;1;1;0;0;1;0;0.30;0.30;0.59;0.30;0.59;Matches
346;Dever Orgill\Dever-Orgill;jm JAM;FW;Ankaragücü;29;1990;21;21;1871;4;0;0;0;8;1;0.19;0.00;0.19;0.19;0.19;Matches
347;Viðar Örn Kjartansson\Vidar-Orn-Kjartansson;is ISL;FW;Yeni Mal'spor;29;1990;5;1;192;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
348;Caner Osmanpaşa\Caner-Osmanpasa;tr TUR;DF;Sivasspor;31;1988;23;23;2029;0;1;0;0;2;0;0.00;0.04;0.04;0.00;0.04;Matches
349;Orhan Ovacıklı\Orhan-Ovacikli;tr TUR;DFMF;Rizespor;30;1988;7;4;404;0;0;0;0;2;0;0.00;0.00;0.00;0.00;0.00;Matches
350;Şener Özbayraklı\Sener-Ozbayrakli;tr TUR;DF;Galatasaray;29;1990;5;4;297;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;Matches
351;Ertaç Özbir\Ertac-Ozbir;tr TUR;GK;Gençlerbirliği;29;1989;13;13;1170;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
352;Berkay Özcan\Berkay-Ozcan;tr TUR;MF;Başakşehir;21;1998;9;2;192;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
353;Özer Özdemir\Ozer-Ozdemir;tr TUR;DF;Yeni Mal'spor;21;1998;8;5;544;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;Matches
354;Kenan Özer\Kenan-Ozer;tr TUR;FWMF;Gaziantep FK;31;1987;19;4;503;3;1;0;0;4;0;0.54;0.18;0.72;0.54;0.72;Matches
355;Erdem Özgenç\Erdem-Ozgenc;tr TUR;DF;Gençlerbirliği;34;1984;14;13;1129;0;2;0;0;3;0;0.00;0.16;0.16;0.00;0.16;Matches
356;Muhammet Özkal\Muhammet-Ozkal;tr TUR;DF;Denizlispor;19;1999;1;0;31;1;0;0;0;0;0;2.90;0.00;2.90;2.90;2.90;Matches
357;Serdar Özkan\Serdar-Ozkan;tr TUR;MF;Antalyaspor;32;1987;12;7;732;3;1;3;3;3;0;0.37;0.12;0.49;0.00;0.12;Matches
358;Ege Özkayimoglu\Ege-Ozkayimoglu;tr TUR;MF;Göztepe;18;2001;1;0;4;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
359;Hakan Özmert\Hakan-Ozmert;tr TUR;MF;Antalyaspor;34;1985;19;16;1345;2;2;0;0;11;1;0.13;0.13;0.27;0.13;0.27;Matches
360;Yasin Öztekin\Yasin-Oztekin;tr TUR;MF;Sivasspor;32;1987;7;1;245;1;1;0;0;1;0;0.37;0.37;0.73;0.37;0.73;Matches
361;Yasin Öztekin\Yasin-Oztekin;tr TUR;MF;Göztepe;32;1987;8;1;157;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
362;Ferhat Öztorun\Ferhat-Oztorun;tr TUR;DF;Konyaspor;32;1987;8;8;590;0;0;0;0;3;0;0.00;0.00;0.00;0.00;0.00;Matches
363;Alpaslan Öztürk\Alpaslan-Ozturk;be BEL;DF;Göztepe;26;1993;18;15;1304;3;0;2;2;7;1;0.21;0.00;0.21;0.07;0.07;Matches
364;Bahadır Öztürk\Bahadir-Ozturk;tr TUR;DF;Antalyaspor;23;1995;11;11;893;0;1;0;0;2;1;0.00;0.10;0.10;0.00;0.10;Matches
365;Fatih Öztürk\Fatih-Ozturk;tr TUR;GK;Kasımpaşa;32;1986;20;20;1800;0;0;0;0;3;0;0.00;0.00;0.00;0.00;0.00;Matches
366;Oğuzhan Özyakup\Oguzhan-Ozyakup;tr TUR;MF;Beşiktaş;26;1992;12;4;448;1;1;0;0;1;0;0.20;0.20;0.40;0.20;0.40;Matches
367;Murat Paluli\Murat-Paluli;tr TUR;DF;Göztepe;24;1994;3;2;225;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
368;Paul Papp\Paul-Papp;ro ROU;DF;Sivasspor;29;1989;3;1;75;0;1;0;0;0;0;0.00;1.20;1.20;0.00;1.20;Matches
369;İlhan Parlak\Ilhan-Parlak;tr TUR;MFFW;Ankaragücü;32;1987;24;20;1804;6;1;2;2;6;0;0.30;0.05;0.35;0.20;0.25;Matches
370;Abdülkadir Parmak\Abdulkadir-Parmak;tr TUR;MF;Trabzonspor;24;1994;17;11;1050;1;2;0;0;1;1;0.09;0.17;0.26;0.09;0.26;Matches
371;David Pavelka\David-Pavelka;cz CZE;DF;Kasımpaşa;28;1991;3;2;206;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
372;Bartłomiej Pawłowski\Bartlomiej-Pawlowski;pl POL;FW;Gaziantep FK;26;1992;15;2;419;0;2;0;0;0;0;0.00;0.43;0.43;0.00;0.43;Matches
373;Michał Pazdan\Michal-Pazdan;pl POL;DF;Ankaragücü;31;1987;23;22;1949;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
374;Halil Pehlivan\Halil-Pehlivan;tr TUR;DF;Gençlerbirliği;26;1993;13;11;990;0;1;0;0;2;0;0.00;0.09;0.09;0.00;0.09;Matches
375;Yasin Pehlivan\Yasin-Pehlivan;at AUT;MF;Gençlerbirliği;30;1989;11;9;753;1;0;0;0;3;1;0.12;0.00;0.12;0.12;0.12;Matches
376;Mustafa Pektemek\Mustafa-Pektemek;tr TUR;MFFW;Kasımpaşa;30;1988;16;11;981;3;1;0;0;1;0;0.28;0.09;0.37;0.28;0.37;Matches
377;Mustafa Pektemek\Mustafa-Pektemek;tr TUR;FW;Alanyaspor;30;1988;4;0;69;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
378;João Pereira\Joao-Pereira;pt POR;DF;Trabzonspor;35;1984;21;21;1890;1;3;0;0;3;0;0.05;0.14;0.19;0.05;0.19;Matches
379;Tiago Pinto\Tiago-Pinto;pt POR;DF;Ankaragücü;31;1988;21;20;1824;0;3;0;0;6;0;0.00;0.15;0.15;0.00;0.15;Matches
380;Lukas Podolski\Lukas-Podolski;de GER;MF;Antalyaspor;34;1985;4;1;121;1;2;0;0;2;0;0.74;1.49;2.23;0.74;2.23;Matches
381;Furkan Polat\Furkan-Polat;tr TUR;MF;Kayserispor;21;1998;4;0;61;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
382;Pierre-Yves Polomat\Pierre-Yves-Polomat;fr FRA;DFMF;Gençlerbirliği;25;1993;15;15;1274;0;0;0;0;7;1;0.00;0.00;0.00;0.00;0.00;Matches
383;Carlos Ponck\Carlos-Ponck;cv CPV;DF;Başakşehir;24;1995;15;13;1171;1;0;0;0;0;0;0.08;0.00;0.08;0.08;0.08;Matches
384;Strahil Popov\Strahil-Popov;bg BUL;DF;Kasımpaşa;28;1990;14;14;1198;0;2;0;0;1;0;0.00;0.15;0.15;0.00;0.15;Matches
385;Alper Potuk\Alper-Potuk;tr TUR;FW;Fenerbahçe;28;1991;5;1;102;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;Matches
386;Benoît Poulain\Benoit-Poulain;fr FRA;DF;Kayserispor;32;1987;14;14;1197;1;1;0;0;1;0;0.08;0.08;0.15;0.08;0.15;Matches
387;Ricardo Quaresma\Ricardo-Quaresma;pt POR;MF;Beşiktaş;35;1983;1;1;62;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
388;Ricardo Quaresma\Ricardo-Quaresma;pt POR;MF;Kasımpaşa;35;1983;17;15;1217;4;0;3;4;6;0;0.30;0.00;0.30;0.07;0.07;Matches
389;Adil Rami\Adil-Rami;fr FRA;DF;Fenerbahçe;33;1985;1;1;45;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
390;Flávio Ramos\Flavio-Ramos;br BRA;DF;Gençlerbirliği;25;1994;17;17;1453;0;0;0;0;5;1;0.00;0.00;0.00;0.00;0.00;Matches
391;Abdou Razack Traoré\Abdou-Razack-Traore;bf BFA;MF;Sivasspor;30;1988;9;3;300;0;2;0;0;0;0;0.00;0.60;0.60;0.00;0.60;Matches
392;Pedro Rebocho\Pedro-Rebocho;pt POR;DF;Beşiktaş;24;1995;9;8;626;0;0;0;0;2;0;0.00;0.00;0.00;0.00;0.00;Matches
393;Wallace Reis\Wallace-Reis;br BRA;DF;Göztepe;31;1987;8;5;511;1;0;0;0;0;0;0.18;0.00;0.18;0.18;0.18;Matches
394;Ricardo\Ricardo;br BRA;GK;Ankaragücü;26;1993;5;5;450;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
395;Ben Rienstra\Ben-Rienstra;nl NED;MFDF;Kayserispor;29;1990;18;13;1274;0;0;0;0;3;0;0.00;0.00;0.00;0.00;0.00;Matches
396;Gelmin Rivas\Gelmin-Rivas;ve VEN;FW;Ankaragücü;30;1989;2;0;25;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
397;Robinho\Robinho;br BRA;MF;Başakşehir;35;1984;8;2;274;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
398;Enzo Roco\Enzo-Roco;cl CHI;DF;Beşiktaş;26;1992;6;6;522;0;0;0;0;2;0;0.00;0.00;0.00;0.00;0.00;Matches
399;Hugo Rodallega\Hugo-Rodallega;co COL;FW;Denizlispor;34;1985;21;20;1822;5;1;0;0;2;0;0.25;0.05;0.30;0.25;0.30;Matches
400;Garry Rodrigues\Garry-Rodrigues;cv CPV;MF;Fenerbahçe;28;1990;18;15;1245;3;3;0;0;2;1;0.22;0.22;0.43;0.22;0.43;Matches
401;Gerson Rodrigues\Gerson-Rodrigues;lu LUX;MFFW;Ankaragücü;24;1995;6;6;532;2;1;1;1;0;0;0.34;0.17;0.51;0.17;0.34;Matches
402;Víctor Ruiz\Victor-Ruiz;es ESP;DF;Beşiktaş;30;1989;16;16;1440;0;0;0;0;5;0;0.00;0.00;0.00;0.00;0.00;Matches
403;Serhiy Rybalka\Serhiy-Rybalka;ua UKR;MF;Sivasspor;29;1990;3;0;69;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
404;Isaac Sackey\Isaac-Sackey;gh GHA;MF;Denizlispor;25;1994;15;13;1009;0;0;0;0;5;0;0.00;0.00;0.00;0.00;0.00;Matches
405;Hadi Sacko\Hadi-Sacko;ml MLI;MF;Denizlispor;25;1994;20;13;1076;1;1;0;0;2;0;0.08;0.08;0.17;0.08;0.17;Matches
406;Zaur Sadayev\Zaur-Sadayev;ru RUS;FW;Ankaragücü;29;1989;5;0;59;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;Matches
407;Loret Sadiku\Loret-Sadiku;al ALB;MFDF;Kasımpaşa;28;1991;8;7;624;0;0;0;0;4;0;0.00;0.00;0.00;0.00;0.00;Matches
408;Olcay Şahan\Olcay-Sahan;tr TUR;MFDF;Denizlispor;32;1987;19;12;1114;1;1;0;0;2;0;0.08;0.08;0.16;0.08;0.16;Matches
409;Cenk Şahin\Cenk-Sahin;tr TUR;MF;Kayserispor;24;1994;5;1;150;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;Matches
410;Sedat Şahintürk\Sedat-Sahinturk;tr TUR;MF;Denizlispor;23;1996;6;1;172;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
411;Mehmet Sak\Mehmet-Sak;tr TUR;DFMF;Ankaragücü;29;1990;9;5;421;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;Matches
412;Mamadou Samassa\Mamadou-Samassa;ml MLI;GK;Sivasspor;29;1990;24;24;2115;0;0;0;0;3;0;0.00;0.00;0.00;0.00;0.00;Matches
413;Braian Samudio\Braian-Samudio;py PAR;MFFW;Rizespor;23;1995;21;14;1235;3;1;2;2;2;0;0.22;0.07;0.29;0.07;0.15;Matches
414;Nazim Sangaré\Nazim-Sangare;tr TUR;DF;Antalyaspor;25;1994;17;17;1530;1;0;0;0;3;0;0.06;0.00;0.06;0.06;0.06;Matches
415;Bubacarr Sanneh\Bubacarr-Sanneh;gm GAM;DF;Göztepe;24;1994;2;2;180;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
416;Cristian Săpunaru\Cristian-Sapunaru;ro ROU;DF;Kayserispor;35;1984;4;4;360;1;0;0;0;2;0;0.25;0.00;0.25;0.25;0.25;Matches
417;Cristian Săpunaru\Cristian-Sapunaru;ro ROU;DF;Denizlispor;35;1984;14;13;1155;0;0;0;0;4;0;0.00;0.00;0.00;0.00;0.00;Matches
418;Marcelo Saracchi\Marcelo-Saracchi;uy URU;DF;Galatasaray;21;1998;5;5;346;0;2;0;0;0;0;0.00;0.52;0.52;0.00;0.52;Matches
419;Veysel Sarı\Veysel-Sari;tr TUR;DF;Kasımpaşa;31;1988;13;11;973;2;1;0;0;2;0;0.18;0.09;0.28;0.18;0.28;Matches
420;Veysel Sarı\Veysel-Sari;tr TUR;DF;Antalyaspor;31;1988;5;5;450;0;0;0;0;2;0;0.00;0.00;0.00;0.00;0.00;Matches
421;Yusuf Sari\Yusuf-Sari;tr TUR;MFFW;Trabzonspor;20;1998;13;8;693;3;2;0;0;4;0;0.39;0.26;0.65;0.39;0.65;Matches
422;Zvonimir Šarlija\Zvonimir-Sarlija;hr CRO;DF;Kasımpaşa;22;1996;2;1;130;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;Matches
423;Yan Sasse\Yan-Sasse;br BRA;MFFW;Rizespor;22;1997;10;3;386;1;0;0;0;3;0;0.23;0.00;0.23;0.23;0.23;Matches
424;Ezequiel Scarione\Ezequiel-Scarione;ar ARG;MFFW;Ankaragücü;34;1985;6;3;265;2;0;0;0;0;0;0.68;0.00;0.68;0.68;0.68;Matches
425;Marko Šćepović\Marko-Scepovic;rs SRB;FW;Rizespor;28;1991;10;3;356;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;Matches
426;Léo Schwechlen\Leo-Schwechlen;fr FRA;DF;Göztepe;30;1989;5;5;450;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
427;Jesse Sekidika\Jesse-Sekidika;ng NGA;FW;Galatasaray;23;1996;3;0;14;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
428;Tarkan Serbest\Tarkan-Serbest;tr TUR;MF;Kasımpaşa;25;1994;6;5;428;0;0;0;0;2;0;0.00;0.00;0.00;0.00;0.00;Matches
429;Jean Seri\Jean-Seri;ci CIV;MF;Galatasaray;28;1991;17;13;1182;1;2;0;0;2;1;0.08;0.15;0.23;0.08;0.23;Matches
430;Stéphane Sessègnon\Stephane-Sessegnon;bj BEN;MF;Gençlerbirliği;35;1984;23;23;2055;2;3;1;1;0;0;0.09;0.13;0.22;0.04;0.18;Matches
431;Mats Seuntjens\Mats-Seuntjens;nl NED;MF;Gençlerbirliği;27;1992;11;3;266;0;1;0;0;1;0;0.00;0.34;0.34;0.00;0.34;Matches
432;Selahattin Seyhun\Selahattin-Seyhun;tr TUR;FW;Kayserispor;20;1999;1;0;13;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
433;Levan Shengelia\Levan-Shengelia;ge GEO;MF;Konyaspor;23;1995;16;10;938;1;1;0;0;2;1;0.10;0.10;0.19;0.10;0.19;Matches
434;Charles Fernando Basílio da Silva\Charles-Fernando-Basilio-da-Silva;br BRA;MF;Antalyaspor;34;1985;17;14;1240;0;1;0;0;5;0;0.00;0.07;0.07;0.00;0.07;Matches
435;Doğukan Sınık\Dogukan-Sinik;tr TUR;MF;Antalyaspor;20;1999;14;8;716;0;1;0;0;4;0;0.00;0.13;0.13;0.00;0.13;Matches
436;Giovanni Sio\Giovanni-Sio;ci CIV;MFFW;Gençlerbirliği;30;1989;20;18;1582;8;3;0;0;10;0;0.46;0.17;0.63;0.46;0.63;Matches
437;Emmanouil Siopis\Emmanouil-Siopis;gr GRE;MF;Alanyaspor;25;1994;22;21;1913;0;3;0;0;6;0;0.00;0.14;0.14;0.00;0.14;Matches
438;Jailson Siqueira\Jailson-Siqueira;br BRA;DF;Fenerbahçe;23;1995;21;15;1472;1;0;0;0;2;0;0.06;0.00;0.06;0.06;0.06;Matches
439;Mario Šitum\Mario-Situm;hr CRO;MFDF;Kayserispor;27;1992;7;5;401;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
440;Guilherme Sityá\Guilherme-Sitya;pt POR;DF;Konyaspor;29;1990;5;5;450;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;Matches
441;Milan Škoda\Milan-Skoda;cz CZE;FW;Rizespor;33;1986;6;6;536;4;1;1;1;1;0;0.67;0.17;0.84;0.50;0.67;Matches
442;Martin Škrtel\Martin-Skrtel;sk SVK;DF;Başakşehir;34;1984;12;10;893;3;0;0;0;3;0;0.30;0.00;0.30;0.30;0.30;Matches
443;Nejc Skubic\Nejc-Skubic;si SVN;DF;Konyaspor;30;1989;22;22;1952;0;2;0;0;5;0;0.00;0.09;0.09;0.00;0.09;Matches
444;Petar Škuletić\Petar-Skuletic;rs SRB;FW;Sivasspor;29;1990;1;0;27;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
445;José Sosa\Jose-Sosa;ar ARG;MF;Trabzonspor;34;1985;21;21;1828;5;5;2;2;5;0;0.25;0.25;0.49;0.15;0.39;Matches
446;André Sousa\Andre-Sousa;pt POR;MF;Gaziantep FK;29;1990;5;5;436;1;0;0;0;2;0;0.21;0.00;0.21;0.21;0.21;Matches
447;Claudemir de Souza\Claudemir-de-Souza;br BRA;MF;Sivasspor;31;1988;5;0;154;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
448;Furkan Soyalp\Furkan-Soyalp;tr TUR;FWMF;Başakşehir;24;1995;1;0;24;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
449;Furkan Soyalp\Furkan-Soyalp;tr TUR;MF;Gaziantep FK;24;1995;9;3;232;0;0;0;0;2;0;0.00;0.00;0.00;0.00;0.00;Matches
450;Adam Stachowiak\Adam-Stachowiak;pl POL;GK;Denizlispor;32;1986;24;24;2160;0;0;0;0;2;0;0.00;0.00;0.00;0.00;0.00;Matches
451;Bogdan Stancu\Bogdan-Stancu;ro ROU;FWMF;Gençlerbirliği;32;1987;17;14;1252;12;3;3;3;4;0;0.86;0.22;1.08;0.65;0.86;Matches
452;Miloš Stanojević\Milos-Stanojevic;rs SRB;MF;Ankaragücü;25;1993;1;1;35;0;0;0;0;2;1;0.00;0.00;0.00;0.00;0.00;Matches
453;Daniel Sturridge\Daniel-Sturridge;eng ENG;MFFW;Trabzonspor;29;1989;11;7;521;4;4;2;2;1;0;0.69;0.69;1.38;0.35;1.04;Matches
454;Alexander Sørloth\Alexander-Sorloth;no NOR;FW;Trabzonspor;23;1995;23;23;2050;19;7;1;2;1;1;0.83;0.31;1.14;0.79;1.10;Matches
455;Montassar Talbi\Montassar-Talbi;tn TUN;DF;Rizespor;21;1998;16;16;1440;0;0;0;0;4;0;0.00;0.00;0.00;0.00;0.00;Matches
456;Emre Taşdemir\Emre-Tasdemir;tr TUR;DF;Kayserispor;23;1995;5;5;450;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;Matches
457;Emre Taşdemir\Emre-Tasdemir;tr TUR;MFDF;Galatasaray;23;1995;6;3;264;0;1;0;0;0;0;0.00;0.34;0.34;0.00;0.34;Matches
458;Ertuğrul Taşkıran\Ertugrul-Taskiran;tr TUR;GK;Konyaspor;29;1989;2;1;177;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
459;Mahmut Tekdemir\Mahmut-Tekdemir;tr TUR;MF;Başakşehir;31;1988;15;15;1281;1;0;0;0;5;0;0.07;0.00;0.07;0.07;0.07;Matches
460;Thuram\Thuram;br BRA;FW;Konyaspor;28;1991;6;4;416;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;Matches
461;Mickaël Tirpan\Mickael-Tirpan;be BEL;MFDF;Kasımpaşa;25;1993;6;6;530;0;0;0;0;2;0;0.00;0.00;0.00;0.00;0.00;Matches
462;Titi\Titi;br BRA;DF;Göztepe;31;1988;21;21;1890;0;1;0;0;4;0;0.00;0.05;0.05;0.00;0.05;Matches
463;Dorukhan Toköz\Dorukhan-Tokoz;tr TUR;MFDF;Beşiktaş;23;1996;6;6;484;0;0;0;0;2;0;0.00;0.00;0.00;0.00;0.00;Matches
464;Mehmet Topal\Mehmet-Topal;tr TUR;MFDF;Başakşehir;33;1986;15;10;924;0;1;0;0;0;0;0.00;0.10;0.10;0.00;0.10;Matches
465;Gökhan Töre\Gokhan-Tore;tr TUR;MFFW;Yeni Mal'spor;27;1992;13;8;718;1;2;1;1;1;0;0.13;0.25;0.38;0.00;0.25;Matches
466;Tunay Torun\Tunay-Torun;tr TUR;FWMF;Rizespor;29;1990;1;0;25;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
467;Alin Toșca\Alin-Tosca;ro ROU;DF;Gaziantep FK;27;1992;24;24;2160;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
468;Cafer Tosun\Cafer-Tosun;tr TUR;MF;Trabzonspor;19;1999;2;0;16;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
469;Zargo Touré\Zargo-Toure;sn SEN;DF;Gençlerbirliği;29;1989;23;23;2066;0;0;0;0;6;0;0.00;0.00;0.00;0.00;0.00;Matches
470;Eren Tozlu\Eren-Tozlu;tr TUR;FW;Yeni Mal'spor;28;1990;6;0;114;1;0;0;0;2;1;0.79;0.00;0.79;0.79;0.79;Matches
471;Zlatko Tripić\Zlatko-Tripic;no NOR;FWMF;Göztepe;26;1992;2;0;13;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
472;Ozan Tufan\Ozan-Tufan;tr TUR;MFDF;Fenerbahçe;24;1995;24;24;2155;2;5;0;0;5;1;0.08;0.21;0.29;0.08;0.29;Matches
473;Ali Turan\Ali-Turan;tr TUR;DF;Konyaspor;35;1983;14;13;1063;0;0;0;0;4;0;0.00;0.00;0.00;0.00;0.00;Matches
474;Arda Turan\Arda-Turan;tr TUR;MF;Başakşehir;32;1987;9;2;179;0;0;0;0;2;0;0.00;0.00;0.00;0.00;0.00;Matches
475;Atila Turan\Atila-Turan;tr TUR;DF;Ankaragücü;27;1992;4;1;149;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;Matches
476;Atila Turan\Atila-Turan;tr TUR;DFMF;Kayserispor;27;1992;5;4;351;0;0;0;0;2;0;0.00;0.00;0.00;0.00;0.00;Matches
477;Hüseyin Türkmen\Huseyin-Turkmen;tr TUR;DF;Trabzonspor;21;1998;20;18;1667;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;Matches
